time,amplitude
0.0,-0.275
0.004,-0.295
0.008,-0.31
0.012,-0.315
0.016,-0.3
0.02,-0.32
0.024,-0.3
0.028,-0.3
0.032,-0.29
0.036,-0.28
0.04,-0.295
0.044,-0.29
0.048,-0.305
0.052,-0.315
0.056,-0.32
0.06,-0.295
0.064,-0.295
0.068,-0.305
0.072,-0.275
0.076,-0.25
0.08,-0.23
0.084,-0.19
0.088,-0.175
0.092,-0.165
0.096,-0.17
0.1,-0.14
0.104,-0.145
0.108,-0.12
0.112,-0.12
0.116,-0.11
0.12,-0.115
0.124,-0.09
0.128,-0.1
0.132,-0.13
0.136,-0.16
0.14,-0.215
0.144,-0.23
0.148,-0.285
0.152,-0.28
0.156,-0.32
0.16,-0.31
0.164,-0.31
0.168,-0.32
0.172,-0.34
0.176,-0.335
0.18,-0.34
0.184,-0.36
0.188,-0.31
0.192,-0.26
0.196,-0.18
0.2,0.03
0.204,0.35
0.208,0.695
0.212,0.86
0.216,1.03
0.22,0.995
0.224,0.42
0.228,-0.58
0.232,-1.345
0.236,-1.695
0.24,-1.77
0.244,-1.65
0.248,-1.375
0.252,-1.0
0.256,-0.74
0.26,-0.595
0.264,-0.495
0.268,-0.445
0.272,-0.44
0.276,-0.435
0.28,-0.44
0.284,-0.43
0.288,-0.425
0.292,-0.41
0.296,-0.39
0.3,-0.415
0.304,-0.425
0.308,-0.405
0.312,-0.445
0.316,-0.445
0.32,-0.455
0.324,-0.46
0.328,-0.465
0.332,-0.475
0.336,-0.455
0.34,-0.43
0.344,-0.45
0.348,-0.47
0.352,-0.45
0.356,-0.46
0.36,-0.5
0.364,-0.5
0.368,-0.51
0.372,-0.505
0.376,-0.52
0.38,-0.5
0.384,-0.52
0.388,-0.525
0.392,-0.53
0.396,-0.56
0.4,-0.61
0.404,-0.61
0.408,-0.645
0.412,-0.655
0.416,-0.66
0.42,-0.665
0.424,-0.685
0.428,-0.695
0.432,-0.7
0.436,-0.72
0.44,-0.78
0.444,-0.8
0.448,-0.8
0.452,-0.81
0.456,-0.83
0.46,-0.84
0.464,-0.845
0.468,-0.865
0.472,-0.87
0.476,-0.87
0.48,-0.875
0.484,-0.885
0.488,-0.91
0.492,-0.9
0.496,-0.9
0.5,-0.895
0.504,-0.84
0.508,-0.79
0.512,-0.73
0.516,-0.675
0.52,-0.64
0.524,-0.59
0.528,-0.56
0.532,-0.48
0.536,-0.43
0.54,-0.4
0.544,-0.355
0.548,-0.31
0.552,-0.29
0.556,-0.245
0.56,-0.22
0.564,-0.21
0.568,-0.225
0.572,-0.22
0.576,-0.205
0.58,-0.23
0.584,-0.25
0.588,-0.24
0.592,-0.235
0.596,-0.24
0.6,-0.24
0.604,-0.22
0.608,-0.22
0.612,-0.215
0.616,-0.225
0.62,-0.26
0.624,-0.26
0.628,-0.27
0.632,-0.295
0.636,-0.28
0.64,-0.285
0.644,-0.275
0.648,-0.27
0.652,-0.255
0.656,-0.265
0.66,-0.275
0.664,-0.3
0.668,-0.315
0.672,-0.315
0.676,-0.3
0.68,-0.305
0.684,-0.295
0.688,-0.29
0.692,-0.305
0.696,-0.28
0.7,-0.305
0.704,-0.315
0.708,-0.305
0.712,-0.305
0.716,-0.295
0.72,-0.295
0.724,-0.295
0.728,-0.29
0.732,-0.27
0.736,-0.25
0.74,-0.27
0.744,-0.255
0.748,-0.25
0.752,-0.3
0.756,-0.23
0.76,0.005
0.764,0.4
0.768,0.74
0.772,1.035
0.776,0.91
0.78,0.115
0.784,-0.875
0.788,-1.46
0.792,-1.715
0.796,-1.725
0.8,-1.59
0.804,-1.365
0.808,-1.005
0.812,-0.64
0.816,-0.35
0.82,-0.165
0.824,-0.13
0.828,-0.115
0.832,-0.145
0.836,-0.145
0.84,-0.165
0.844,-0.19
0.848,-0.195
0.852,-0.2
0.856,-0.2
0.86,-0.175
0.864,-0.19
0.868,-0.21
0.872,-0.23
0.876,-0.23
0.88,-0.27
0.884,-0.29
0.888,-0.33
0.892,-0.325
0.896,-0.33
0.9,-0.355
0.904,-0.36
0.908,-0.345
0.912,-0.32
0.916,-0.33
0.92,-0.33
0.924,-0.36
0.928,-0.365
0.932,-0.4
0.936,-0.42
0.94,-0.43
0.944,-0.45
0.948,-0.47
0.952,-0.455
0.956,-0.47
0.96,-0.47
0.964,-0.505
0.968,-0.52
0.972,-0.57
0.976,-0.595
0.98,-0.61
0.984,-0.63
0.988,-0.64
0.992,-0.65
0.996,-0.65
1.0,-0.64
1.004,-0.64
1.008,-0.635
1.012,-0.655
